text,label
The product is broken and I am very disappointed.,Medium Risk
This is a criminal operation! I will sue you.,High Risk
Your service is defective please fix this.,Medium Risk
This is unacceptable. report this to the police!,High Risk
This is illegal. sue you!,High Risk
This is fraud. file a lawsuit!,High Risk
Appreciate the quick response! Just wanted to confirm the meeting.,Safe
The shipment is late. send me a replacement.,Medium Risk
I will contact the authorities for stealing my data.,High Risk
The shipment is broken. I want a refund.,Medium Risk
My refund has not arrived. I want a refund.,Medium Risk
The product has not arrived and I am frustrated.,Medium Risk
Great job! Can you update the ticket.,Safe
The product is late and I am frustrated.,Medium Risk
Thanks for the help! Just wanted to confirm the meeting.,Safe
Appreciate the quick response! Please reset my password.,Safe
schedule a call is done. Cheers.,Safe
I demand to report this to the police due to your gross negligence.,High Risk
I will expose your scam for this harassment.,High Risk
The product is broken which is annoying.,Medium Risk
Expect to sue you for this mess.,High Risk
attach the file is done. Thank you.,Safe
The shipment is missing I am not happy.,Medium Risk
This is unacceptable. contact the authorities!,High Risk
Your service is late please fix this.,Medium Risk
The shipment is missing. I want a refund.,Medium Risk
This is unacceptable. sue you!,High Risk
My lawyer will take legal action due to your gross negligence.,High Risk
We intend to contact the authorities for this mess.,High Risk
Could you send the invoice? Thanks.,Safe
Your service is missing which is annoying.,Medium Risk
confirm the meeting is done. Thank you.,Safe
You people are useless idiots! I demand to report this to the police.,High Risk
My order is missing please fix this.,Medium Risk
My refund has not arrived. send me a replacement.,Medium Risk
The product is broken please fix this.,Medium Risk
I demand to expose your scam due to your gross negligence.,High Risk
My order has not arrived please fix this.,Medium Risk
This is fraud. contact the authorities!,High Risk
Could you confirm the meeting? Cheers.,Safe
You are scammers! We intend to sue you.,High Risk
The product is broken and I am very disappointed.,Medium Risk
My refund is missing. where is my money?.,Medium Risk
My refund stopped working. I want a refund.,Medium Risk
The shipment is missing and I am frustrated.,Medium Risk
The shipment is defective which is annoying.,Medium Risk
Your service is late I am not happy.,Medium Risk
My order stopped working. I want a refund.,Medium Risk
Thanks for the help! Just wanted to reset my password.,Safe
Service was excellent! I would like to attach the file.,Safe
Your service has not arrived and I am frustrated.,Medium Risk
schedule a call is done. Cheers.,Safe
The shipment is missing I am not happy.,Medium Risk
My order is broken and I am very disappointed.,Medium Risk
You people are useless idiots! I am going to report this to the police.,High Risk
Expect to sue you because of this fraud.,High Risk
The shipment has not arrived which is annoying.,Medium Risk
confirm the meeting is done. Best regards.,Safe
Kindly send the invoice? Thanks.,Safe
I demand to file a lawsuit due to your gross negligence.,High Risk
My refund has not arrived please fix this.,Medium Risk
You are scammers! We intend to contact the authorities.,High Risk
Your service is broken I am not happy.,Medium Risk
The shipment is missing and I am very disappointed.,Medium Risk
The product is broken please fix this.,Medium Risk
My order is defective and I am very disappointed.,Medium Risk
attach the file is done. Thanks.,Safe
reset my password is done. Thanks.,Safe
The shipment is broken. send me a replacement.,Medium Risk
The shipment has not arrived. send me a replacement.,Medium Risk
The product has not arrived please fix this.,Medium Risk
Expect to report this to the police because of this fraud.,High Risk
My order is late. I want a refund.,Medium Risk
Thanks for the help! Just wanted to confirm the meeting.,Safe
Your service is late and I am very disappointed.,Medium Risk
My order has not arrived. I want a refund.,Medium Risk
Your service is broken and I am very disappointed.,Medium Risk
This is illegal. file a lawsuit!,High Risk
The shipment has not arrived and I am very disappointed.,Medium Risk
This is unacceptable. file a lawsuit!,High Risk
My order is broken I am not happy.,Medium Risk
This is unacceptable. expose your scam!,High Risk
We intend to contact the authorities for stealing my data.,High Risk
My lawyer will contact the authorities due to your gross negligence.,High Risk
Expect to contact the authorities for stealing my data.,High Risk
Thanks for the help! Just wanted to send the invoice.,Safe
send the invoice is done. Looking forward to it.,Safe
I am going to sue you for stealing my data.,High Risk
Kindly confirm the meeting? Best regards.,Safe
Appreciate the quick response! Please schedule a call.,Safe
attach the file is done. Looking forward to it.,Safe
Please reset my password? Looking forward to it.,Safe
My refund has not arrived I am not happy.,Medium Risk
This is fraud. file a lawsuit!,High Risk
You are scammers! My lawyer will take legal action.,High Risk
Appreciate the quick response! I would like to attach the file.,Safe
Service was excellent! Kindly confirm the meeting.,Safe
I will sue you for this harassment.,High Risk
reset my password is done. Thank you.,Safe
Please confirm the meeting? Looking forward to it.,Safe
This is unacceptable. contact the authorities!,High Risk
Your service has not arrived. send me a replacement.,Medium Risk
My refund is missing. I want a refund.,Medium Risk
reset my password is done. Cheers.,Safe
My refund is late. send me a replacement.,Medium Risk
Appreciate the quick response! Could you send the invoice.,Safe
I would like to attach the file? Thank you.,Safe
My refund stopped working. cancel this immediately.,Medium Risk
The product is broken. I want a refund.,Medium Risk
The product is broken. send me a replacement.,Medium Risk
Service was excellent! Just wanted to schedule a call.,Safe
We intend to sue you for this mess.,High Risk
Your service is missing. where is my money?.,Medium Risk
Expect to contact the authorities for this mess.,High Risk
Great job! Kindly attach the file.,Safe
This is a criminal operation! My lawyer will contact the authorities.,High Risk
The product has not arrived. send me a replacement.,Medium Risk
We intend to contact the authorities because of this fraud.,High Risk
This is a criminal operation! I demand to report this to the police.,High Risk
Great job! I would like to reset my password.,Safe
This is a criminal operation! I demand to contact the authorities.,High Risk
Expect to contact the authorities due to your gross negligence.,High Risk
You are scammers! I will file a lawsuit.,High Risk
Your service is defective. where is my money?.,Medium Risk
schedule a call is done. Thanks.,Safe
Expect to sue you because of this fraud.,High Risk
I would like to update the ticket? Thank you.,Safe
I would like to send the invoice? Looking forward to it.,Safe
reset my password is done. Best regards.,Safe
This is unacceptable. sue you!,High Risk
This is fraud. file a lawsuit!,High Risk
You are thieves! I am going to take legal action.,High Risk
The product stopped working which is annoying.,Medium Risk
schedule a call is done. Cheers.,Safe
The product is missing I am not happy.,Medium Risk
I demand to expose your scam for stealing my data.,High Risk
The product stopped working and I am frustrated.,Medium Risk
My order is late. where is my money?.,Medium Risk
The product is late. cancel this immediately.,Medium Risk
Thanks for the help! Can you reset my password.,Safe
The shipment is broken. cancel this immediately.,Medium Risk
I will take legal action because of this fraud.,High Risk
My lawyer will contact the authorities due to your gross negligence.,High Risk
Great job! Could you attach the file.,Safe
The shipment is missing. cancel this immediately.,Medium Risk
Appreciate the quick response! Kindly send the invoice.,Safe
Service was excellent! Please send the invoice.,Safe
This is unacceptable. contact the authorities!,High Risk
I am going to report this to the police due to your gross negligence.,High Risk
I am going to contact the authorities due to your gross negligence.,High Risk
The shipment is late please fix this.,Medium Risk
The product stopped working. cancel this immediately.,Medium Risk
reset my password is done. Thanks.,Safe
Your service has not arrived which is annoying.,Medium Risk
attach the file is done. Thanks.,Safe
attach the file is done. Best regards.,Safe
You are scammers! Expect to file a lawsuit.,High Risk
Your service is defective. where is my money?.,Medium Risk
The product stopped working. send me a replacement.,Medium Risk
Service was excellent! Kindly schedule a call.,Safe
This is unacceptable. file a lawsuit!,High Risk
This is unacceptable. take legal action!,High Risk
Your service stopped working please fix this.,Medium Risk
I would like to schedule a call? Cheers.,Safe
This is illegal. file a lawsuit!,High Risk
Worst company ever! We intend to contact the authorities.,High Risk
The product is late. cancel this immediately.,Medium Risk
This is fraud. take legal action!,High Risk
confirm the meeting is done. Looking forward to it.,Safe
Please send the invoice? Thank you.,Safe
schedule a call is done. Thank you.,Safe
Thanks for the help! Kindly confirm the meeting.,Safe
send the invoice is done. Looking forward to it.,Safe
My order is missing I am not happy.,Medium Risk
update the ticket is done. Looking forward to it.,Safe
Kindly reset my password? Best regards.,Safe
Just wanted to send the invoice? Thank you.,Safe
The product is late. I want a refund.,Medium Risk
Your service is missing I am not happy.,Medium Risk
Can you schedule a call? Best regards.,Safe
This is fraud. expose your scam!,High Risk
The product is missing please fix this.,Medium Risk
confirm the meeting is done. Looking forward to it.,Safe
This is illegal. contact the authorities!,High Risk
You people are useless idiots! My lawyer will file a lawsuit.,High Risk
My order stopped working. send me a replacement.,Medium Risk
Thanks for the help! Kindly send the invoice.,Safe
My order is late. send me a replacement.,Medium Risk
This is unacceptable. contact the authorities!,High Risk
The shipment is defective I am not happy.,Medium Risk
This is fraud. report this to the police!,High Risk
My refund is late. cancel this immediately.,Medium Risk
Thanks for the help! I would like to reset my password.,Safe
This is illegal. contact the authorities!,High Risk
reset my password is done. Best regards.,Safe
The product stopped working. send me a replacement.,Medium Risk
Your service has not arrived. cancel this immediately.,Medium Risk
I demand to file a lawsuit for stealing my data.,High Risk
This is fraud. report this to the police!,High Risk
The shipment is missing. send me a replacement.,Medium Risk
The product is broken. cancel this immediately.,Medium Risk
This is a criminal operation! We intend to contact the authorities.,High Risk
My refund has not arrived. cancel this immediately.,Medium Risk
This is illegal. file a lawsuit!,High Risk
This is fraud. file a lawsuit!,High Risk
Can you reset my password? Thanks.,Safe
send the invoice is done. Thank you.,Safe
Your service is defective. where is my money?.,Medium Risk
This is fraud. contact the authorities!,High Risk
I demand to file a lawsuit for this mess.,High Risk
Thanks for the help! I would like to update the ticket.,Safe
send the invoice is done. Looking forward to it.,Safe
Just wanted to confirm the meeting? Thanks.,Safe
Great job! Just wanted to send the invoice.,Safe
My lawyer will sue you because of this fraud.,High Risk
reset my password is done. Looking forward to it.,Safe
Appreciate the quick response! Kindly send the invoice.,Safe
I am going to report this to the police because of this fraud.,High Risk
Service was excellent! Can you send the invoice.,Safe
Thanks for the help! Can you update the ticket.,Safe
You are thieves! Expect to file a lawsuit.,High Risk
This is illegal. contact the authorities!,High Risk
Worst company ever! My lawyer will contact the authorities.,High Risk
You are scammers! I demand to expose your scam.,High Risk
confirm the meeting is done. Looking forward to it.,Safe
I demand to take legal action for this mess.,High Risk
This is fraud. contact the authorities!,High Risk
We intend to contact the authorities for this harassment.,High Risk
My lawyer will file a lawsuit due to your gross negligence.,High Risk
Your service has not arrived and I am very disappointed.,Medium Risk
Can you schedule a call? Cheers.,Safe
attach the file is done. Looking forward to it.,Safe
I will sue you due to your gross negligence.,High Risk
Kindly reset my password? Looking forward to it.,Safe
Service was excellent! Just wanted to reset my password.,Safe
We intend to report this to the police for stealing my data.,High Risk
This is illegal. expose your scam!,High Risk
We intend to file a lawsuit because of this fraud.,High Risk
Worst company ever! I demand to expose your scam.,High Risk
Your service is missing I am not happy.,Medium Risk
You people are useless idiots! Expect to contact the authorities.,High Risk
This is unacceptable. file a lawsuit!,High Risk
This is a criminal operation! My lawyer will sue you.,High Risk
You are scammers! Expect to report this to the police.,High Risk
My lawyer will report this to the police because of this fraud.,High Risk
The product is missing and I am very disappointed.,Medium Risk
My lawyer will report this to the police for this mess.,High Risk
This is unacceptable. report this to the police!,High Risk
The shipment stopped working. send me a replacement.,Medium Risk
I demand to report this to the police because of this fraud.,High Risk
The product is broken and I am frustrated.,Medium Risk
My lawyer will take legal action due to your gross negligence.,High Risk
This is fraud. contact the authorities!,High Risk
update the ticket is done. Best regards.,Safe
We intend to expose your scam for this mess.,High Risk
Kindly reset my password? Thanks.,Safe
The product stopped working and I am very disappointed.,Medium Risk
The shipment stopped working. cancel this immediately.,Medium Risk
This is illegal. sue you!,High Risk
confirm the meeting is done. Looking forward to it.,Safe
You people are useless idiots! We intend to report this to the police.,High Risk
This is fraud. report this to the police!,High Risk
update the ticket is done. Cheers.,Safe
This is fraud. report this to the police!,High Risk
Kindly send the invoice? Thank you.,Safe
This is illegal. file a lawsuit!,High Risk
I demand to take legal action for stealing my data.,High Risk
Service was excellent! Can you confirm the meeting.,Safe
This is fraud. contact the authorities!,High Risk
I will file a lawsuit for this mess.,High Risk
I demand to file a lawsuit for this mess.,High Risk
Thanks for the help! Can you update the ticket.,Safe
Your service stopped working. send me a replacement.,Medium Risk
The product is defective. send me a replacement.,Medium Risk
update the ticket is done. Thank you.,Safe
I will take legal action for this mess.,High Risk
This is fraud. take legal action!,High Risk
The shipment has not arrived please fix this.,Medium Risk
My order is late. where is my money?.,Medium Risk
Worst company ever! I am going to contact the authorities.,High Risk
My order stopped working I am not happy.,Medium Risk
Your service has not arrived please fix this.,Medium Risk
I am going to contact the authorities for stealing my data.,High Risk
I am going to expose your scam for stealing my data.,High Risk
This is illegal. contact the authorities!,High Risk
I am going to sue you for stealing my data.,High Risk
This is illegal. sue you!,High Risk
Service was excellent! I would like to schedule a call.,Safe
Your service has not arrived please fix this.,Medium Risk
My order is defective. I want a refund.,Medium Risk
I am going to contact the authorities because of this fraud.,High Risk
The product has not arrived. where is my money?.,Medium Risk
We intend to file a lawsuit for stealing my data.,High Risk
confirm the meeting is done. Looking forward to it.,Safe
This is illegal. contact the authorities!,High Risk
send the invoice is done. Looking forward to it.,Safe
attach the file is done. Best regards.,Safe
Appreciate the quick response! Please attach the file.,Safe
Service was excellent! Please schedule a call.,Safe
This is a criminal operation! We intend to file a lawsuit.,High Risk
Thanks for the help! I would like to update the ticket.,Safe
The product stopped working. I want a refund.,Medium Risk
The product is defective and I am very disappointed.,Medium Risk
The shipment has not arrived which is annoying.,Medium Risk
schedule a call is done. Cheers.,Safe
Service was excellent! Could you schedule a call.,Safe
You are thieves! I will contact the authorities.,High Risk
Appreciate the quick response! Please schedule a call.,Safe
Could you update the ticket? Thank you.,Safe
The shipment is missing I am not happy.,Medium Risk
I demand to expose your scam for stealing my data.,High Risk
The shipment is defective I am not happy.,Medium Risk
Please reset my password? Cheers.,Safe
Great job! Just wanted to send the invoice.,Safe
My order stopped working which is annoying.,Medium Risk
You are scammers! We intend to take legal action.,High Risk
send the invoice is done. Looking forward to it.,Safe
schedule a call is done. Thanks.,Safe
My refund is broken. cancel this immediately.,Medium Risk
This is illegal. expose your scam!,High Risk
This is unacceptable. contact the authorities!,High Risk
Just wanted to update the ticket? Thanks.,Safe
Please reset my password? Thank you.,Safe
My order stopped working. where is my money?.,Medium Risk
Your service is late I am not happy.,Medium Risk
Thanks for the help! Please update the ticket.,Safe
I am going to sue you due to your gross negligence.,High Risk
Worst company ever! I am going to take legal action.,High Risk
Expect to take legal action for this mess.,High Risk
Kindly schedule a call? Best regards.,Safe
update the ticket is done. Thank you.,Safe
Your service is broken I am not happy.,Medium Risk
My refund is late and I am frustrated.,Medium Risk
Your service is missing. where is my money?.,Medium Risk
schedule a call is done. Looking forward to it.,Safe
The product is missing and I am very disappointed.,Medium Risk
This is illegal. contact the authorities!,High Risk
Thanks for the help! Kindly reset my password.,Safe
schedule a call is done. Cheers.,Safe
Appreciate the quick response! Can you schedule a call.,Safe
reset my password is done. Thank you.,Safe
This is fraud. expose your scam!,High Risk
Just wanted to reset my password? Cheers.,Safe
Can you attach the file? Thanks.,Safe
Service was excellent! Just wanted to reset my password.,Safe
This is illegal. contact the authorities!,High Risk
Thanks for the help! Please update the ticket.,Safe
reset my password is done. Looking forward to it.,Safe
Service was excellent! Kindly confirm the meeting.,Safe
The product is broken I am not happy.,Medium Risk
You people are useless idiots! I will expose your scam.,High Risk
My refund is broken which is annoying.,Medium Risk
This is unacceptable. file a lawsuit!,High Risk
Great job! Could you update the ticket.,Safe
Thanks for the help! Could you confirm the meeting.,Safe
Your service stopped working please fix this.,Medium Risk
Thanks for the help! Just wanted to update the ticket.,Safe
We intend to take legal action due to your gross negligence.,High Risk
This is a criminal operation! I will contact the authorities.,High Risk
You are thieves! Expect to expose your scam.,High Risk
Worst company ever! I will take legal action.,High Risk
Kindly schedule a call? Looking forward to it.,Safe
schedule a call is done. Thanks.,Safe
Please confirm the meeting? Best regards.,Safe
I will expose your scam because of this fraud.,High Risk
My lawyer will file a lawsuit for stealing my data.,High Risk
The product stopped working. where is my money?.,Medium Risk
You people are useless idiots! I will file a lawsuit.,High Risk
My order has not arrived. cancel this immediately.,Medium Risk
update the ticket is done. Looking forward to it.,Safe
This is unacceptable. contact the authorities!,High Risk
Great job! Could you attach the file.,Safe
Thanks for the help! Just wanted to schedule a call.,Safe
The product is broken which is annoying.,Medium Risk
You people are useless idiots! I am going to take legal action.,High Risk
Great job! Can you reset my password.,Safe
This is fraud. contact the authorities!,High Risk
My order is defective which is annoying.,Medium Risk
My order has not arrived. I want a refund.,Medium Risk
You are scammers! I will contact the authorities.,High Risk
I am going to contact the authorities for this mess.,High Risk
My lawyer will contact the authorities for this mess.,High Risk
My refund has not arrived. where is my money?.,Medium Risk
My order is late which is annoying.,Medium Risk
Could you schedule a call? Thank you.,Safe
Great job! Could you confirm the meeting.,Safe
update the ticket is done. Best regards.,Safe
This is unacceptable. file a lawsuit!,High Risk
The shipment has not arrived. where is my money?.,Medium Risk
Great job! Can you attach the file.,Safe
My refund has not arrived. send me a replacement.,Medium Risk
attach the file is done. Thank you.,Safe
The product is broken. send me a replacement.,Medium Risk
The shipment is defective and I am frustrated.,Medium Risk
My refund is broken. I want a refund.,Medium Risk
Appreciate the quick response! Could you confirm the meeting.,Safe
The product stopped working and I am frustrated.,Medium Risk
Worst company ever! I will take legal action.,High Risk
schedule a call is done. Looking forward to it.,Safe
reset my password is done. Thanks.,Safe
The product is defective and I am very disappointed.,Medium Risk
Can you update the ticket? Looking forward to it.,Safe
This is unacceptable. file a lawsuit!,High Risk
Your service has not arrived which is annoying.,Medium Risk
The product has not arrived. cancel this immediately.,Medium Risk
Appreciate the quick response! Kindly schedule a call.,Safe
This is unacceptable. contact the authorities!,High Risk
The shipment stopped working. cancel this immediately.,Medium Risk
My refund is missing I am not happy.,Medium Risk
Thanks for the help! Could you reset my password.,Safe
Thanks for the help! Kindly attach the file.,Safe
This is illegal. take legal action!,High Risk
reset my password is done. Thank you.,Safe
My order is defective I am not happy.,Medium Risk
Worst company ever! I am going to file a lawsuit.,High Risk
My refund is defective. where is my money?.,Medium Risk
update the ticket is done. Thank you.,Safe
Service was excellent! Please confirm the meeting.,Safe
My order has not arrived and I am frustrated.,Medium Risk
This is fraud. file a lawsuit!,High Risk
Could you reset my password? Best regards.,Safe
Worst company ever! Expect to take legal action.,High Risk
schedule a call is done. Thanks.,Safe
update the ticket is done. Thank you.,Safe
Great job! Please schedule a call.,Safe
The product is defective and I am very disappointed.,Medium Risk
Expect to take legal action because of this fraud.,High Risk
Please update the ticket? Cheers.,Safe
This is illegal. sue you!,High Risk
Thanks for the help! Could you send the invoice.,Safe
My order has not arrived. where is my money?.,Medium Risk
The product is late. I want a refund.,Medium Risk
We intend to sue you due to your gross negligence.,High Risk
Thanks for the help! Could you send the invoice.,Safe
The product has not arrived I am not happy.,Medium Risk
The product is broken. cancel this immediately.,Medium Risk
I would like to schedule a call? Best regards.,Safe
This is fraud. sue you!,High Risk
send the invoice is done. Thank you.,Safe
The shipment is missing I am not happy.,Medium Risk
reset my password is done. Best regards.,Safe
schedule a call is done. Looking forward to it.,Safe
My lawyer will take legal action due to your gross negligence.,High Risk
You are scammers! I am going to sue you.,High Risk
attach the file is done. Best regards.,Safe
Just wanted to schedule a call? Cheers.,Safe
My order is missing which is annoying.,Medium Risk
reset my password is done. Thank you.,Safe
My order is broken. send me a replacement.,Medium Risk
This is fraud. sue you!,High Risk
This is fraud. file a lawsuit!,High Risk
The product is missing I am not happy.,Medium Risk
The product is missing. I want a refund.,Medium Risk
The product is defective. where is my money?.,Medium Risk
This is illegal. contact the authorities!,High Risk
My refund stopped working. I want a refund.,Medium Risk
Thanks for the help! Kindly confirm the meeting.,Safe
My order is missing which is annoying.,Medium Risk
Your service is defective and I am frustrated.,Medium Risk
This is illegal. expose your scam!,High Risk
You people are useless idiots! My lawyer will report this to the police.,High Risk
Worst company ever! I am going to sue you.,High Risk
The shipment is late which is annoying.,Medium Risk
Service was excellent! Please confirm the meeting.,Safe
Can you attach the file? Looking forward to it.,Safe
Thanks for the help! I would like to attach the file.,Safe
Thanks for the help! Kindly schedule a call.,Safe
This is illegal. contact the authorities!,High Risk
Kindly confirm the meeting? Looking forward to it.,Safe
I demand to file a lawsuit for this harassment.,High Risk
This is unacceptable. file a lawsuit!,High Risk
The product is late. send me a replacement.,Medium Risk
The shipment is missing which is annoying.,Medium Risk
My refund is broken please fix this.,Medium Risk
attach the file is done. Thanks.,Safe
My order is broken. where is my money?.,Medium Risk
Thanks for the help! Could you schedule a call.,Safe
My order is broken. cancel this immediately.,Medium Risk
I am going to file a lawsuit for stealing my data.,High Risk
The product is missing please fix this.,Medium Risk
Could you attach the file? Thanks.,Safe
Worst company ever! I will sue you.,High Risk
Your service is missing and I am very disappointed.,Medium Risk
My order is defective. I want a refund.,Medium Risk
Worst company ever! I will take legal action.,High Risk
Please send the invoice? Thank you.,Safe
schedule a call is done. Thanks.,Safe
Great job! Kindly update the ticket.,Safe
I will expose your scam because of this fraud.,High Risk
My order stopped working and I am very disappointed.,Medium Risk
Your service is defective. cancel this immediately.,Medium Risk
Your service is broken. cancel this immediately.,Medium Risk
You are scammers! I am going to report this to the police.,High Risk
This is unacceptable. sue you!,High Risk
This is a criminal operation! I will file a lawsuit.,High Risk
Service was excellent! Please update the ticket.,Safe
attach the file is done. Looking forward to it.,Safe
Can you send the invoice? Cheers.,Safe
attach the file is done. Best regards.,Safe
You are scammers! Expect to take legal action.,High Risk
attach the file is done. Thank you.,Safe
You people are useless idiots! I demand to contact the authorities.,High Risk
This is unacceptable. report this to the police!,High Risk
The product has not arrived and I am frustrated.,Medium Risk
update the ticket is done. Cheers.,Safe
My order is defective and I am frustrated.,Medium Risk
My order is defective and I am very disappointed.,Medium Risk
This is fraud. contact the authorities!,High Risk
Just wanted to schedule a call? Thanks.,Safe
My order has not arrived and I am very disappointed.,Medium Risk
Could you attach the file? Thanks.,Safe
The shipment is broken. cancel this immediately.,Medium Risk
This is unacceptable. take legal action!,High Risk
Kindly send the invoice? Cheers.,Safe
The product is late please fix this.,Medium Risk
I am going to sue you due to your gross negligence.,High Risk
The product has not arrived. send me a replacement.,Medium Risk
This is fraud. sue you!,High Risk
Kindly send the invoice? Thank you.,Safe
reset my password is done. Thanks.,Safe
My order is late please fix this.,Medium Risk
My order is missing and I am frustrated.,Medium Risk
Thanks for the help! Just wanted to update the ticket.,Safe
Great job! Kindly update the ticket.,Safe
Service was excellent! Just wanted to update the ticket.,Safe
Expect to take legal action because of this fraud.,High Risk
Great job! I would like to send the invoice.,Safe
The shipment has not arrived. I want a refund.,Medium Risk
This is fraud. take legal action!,High Risk
Appreciate the quick response! I would like to confirm the meeting.,Safe
Your service stopped working and I am frustrated.,Medium Risk
I demand to expose your scam for this harassment.,High Risk
The shipment is late. I want a refund.,Medium Risk
We intend to take legal action due to your gross negligence.,High Risk
My lawyer will report this to the police due to your gross negligence.,High Risk
I demand to take legal action due to your gross negligence.,High Risk
Thanks for the help! Just wanted to send the invoice.,Safe
This is fraud. take legal action!,High Risk
This is fraud. contact the authorities!,High Risk
My order is broken. cancel this immediately.,Medium Risk
Your service is late which is annoying.,Medium Risk
I will expose your scam for this harassment.,High Risk
The shipment is missing. I want a refund.,Medium Risk
The shipment stopped working. I want a refund.,Medium Risk
The product is late. where is my money?.,Medium Risk
Worst company ever! I will contact the authorities.,High Risk
The shipment is defective and I am very disappointed.,Medium Risk
schedule a call is done. Cheers.,Safe
I am going to sue you due to your gross negligence.,High Risk
Your service is defective and I am frustrated.,Medium Risk
This is unacceptable. take legal action!,High Risk
The product is broken which is annoying.,Medium Risk
Service was excellent! Just wanted to send the invoice.,Safe
Can you send the invoice? Thanks.,Safe
Great job! Just wanted to send the invoice.,Safe
update the ticket is done. Thanks.,Safe
Worst company ever! I will expose your scam.,High Risk
My refund is late. where is my money?.,Medium Risk
Your service is missing. cancel this immediately.,Medium Risk
The product has not arrived which is annoying.,Medium Risk
I would like to schedule a call? Best regards.,Safe
You are scammers! We intend to report this to the police.,High Risk
This is a criminal operation! I demand to sue you.,High Risk
This is fraud. report this to the police!,High Risk
Service was excellent! Please attach the file.,Safe
This is unacceptable. expose your scam!,High Risk
This is illegal. sue you!,High Risk
attach the file is done. Best regards.,Safe
You are scammers! Expect to contact the authorities.,High Risk
Thanks for the help! Can you update the ticket.,Safe
Expect to report this to the police due to your gross negligence.,High Risk
You are thieves! I demand to contact the authorities.,High Risk
Worst company ever! I demand to expose your scam.,High Risk
Can you attach the file? Best regards.,Safe
The shipment is defective. where is my money?.,Medium Risk
attach the file is done. Best regards.,Safe
This is unacceptable. contact the authorities!,High Risk
My order is broken which is annoying.,Medium Risk
Your service is late I am not happy.,Medium Risk
The shipment is late please fix this.,Medium Risk
send the invoice is done. Best regards.,Safe
This is unacceptable. sue you!,High Risk
My refund is defective. send me a replacement.,Medium Risk
reset my password is done. Looking forward to it.,Safe
This is illegal. take legal action!,High Risk
The shipment is late. send me a replacement.,Medium Risk
Could you attach the file? Cheers.,Safe
My lawyer will expose your scam because of this fraud.,High Risk
update the ticket is done. Cheers.,Safe
This is a criminal operation! My lawyer will sue you.,High Risk
Great job! I would like to confirm the meeting.,Safe
My order is defective. cancel this immediately.,Medium Risk
My refund is late I am not happy.,Medium Risk
confirm the meeting is done. Looking forward to it.,Safe
attach the file is done. Thank you.,Safe
My refund is late please fix this.,Medium Risk
You are thieves! I will contact the authorities.,High Risk
schedule a call is done. Thanks.,Safe
My refund is defective please fix this.,Medium Risk
Thanks for the help! Can you schedule a call.,Safe
We intend to expose your scam for stealing my data.,High Risk
I am going to file a lawsuit due to your gross negligence.,High Risk
My order is defective please fix this.,Medium Risk
Can you reset my password? Thank you.,Safe
This is unacceptable. report this to the police!,High Risk
confirm the meeting is done. Cheers.,Safe
I would like to schedule a call? Best regards.,Safe
Could you attach the file? Cheers.,Safe
The product is missing. cancel this immediately.,Medium Risk
Your service is broken and I am very disappointed.,Medium Risk
attach the file is done. Cheers.,Safe
Service was excellent! Can you schedule a call.,Safe
Appreciate the quick response! I would like to schedule a call.,Safe
Thanks for the help! Kindly reset my password.,Safe
Service was excellent! Kindly send the invoice.,Safe
Great job! Just wanted to update the ticket.,Safe
reset my password is done. Best regards.,Safe
This is unacceptable. report this to the police!,High Risk
The shipment stopped working. I want a refund.,Medium Risk
This is unacceptable. take legal action!,High Risk
Please reset my password? Thank you.,Safe
I am going to file a lawsuit for this mess.,High Risk
The product is late. cancel this immediately.,Medium Risk
My order is broken. cancel this immediately.,Medium Risk
My refund is missing which is annoying.,Medium Risk
Service was excellent! Just wanted to confirm the meeting.,Safe
confirm the meeting is done. Thanks.,Safe
attach the file is done. Cheers.,Safe
This is illegal. file a lawsuit!,High Risk
Just wanted to send the invoice? Cheers.,Safe
Thanks for the help! Can you schedule a call.,Safe
This is fraud. take legal action!,High Risk
Worst company ever! I demand to expose your scam.,High Risk
The product is missing. I want a refund.,Medium Risk
update the ticket is done. Best regards.,Safe
This is fraud. file a lawsuit!,High Risk
Just wanted to update the ticket? Thanks.,Safe
The product has not arrived I am not happy.,Medium Risk
My lawyer will file a lawsuit for stealing my data.,High Risk
Service was excellent! Kindly attach the file.,Safe
Thanks for the help! Please send the invoice.,Safe
My refund is broken and I am frustrated.,Medium Risk
Please confirm the meeting? Cheers.,Safe
The shipment is broken please fix this.,Medium Risk
This is illegal. take legal action!,High Risk
Please schedule a call? Thanks.,Safe
The product has not arrived. I want a refund.,Medium Risk
I would like to update the ticket? Looking forward to it.,Safe
The shipment is missing please fix this.,Medium Risk
Your service stopped working. where is my money?.,Medium Risk
You are thieves! I demand to expose your scam.,High Risk
Thanks for the help! Just wanted to attach the file.,Safe
send the invoice is done. Cheers.,Safe
My order is broken I am not happy.,Medium Risk
This is unacceptable. file a lawsuit!,High Risk
This is a criminal operation! I am going to file a lawsuit.,High Risk
Great job! Could you send the invoice.,Safe
attach the file is done. Best regards.,Safe
attach the file is done. Thank you.,Safe
The product is missing please fix this.,Medium Risk
We intend to sue you due to your gross negligence.,High Risk
confirm the meeting is done. Thanks.,Safe
Just wanted to send the invoice? Best regards.,Safe
Worst company ever! We intend to take legal action.,High Risk
I would like to update the ticket? Best regards.,Safe
This is unacceptable. expose your scam!,High Risk
My order stopped working and I am very disappointed.,Medium Risk
The product is defective and I am frustrated.,Medium Risk
